date,home_team,away_team,competition
2026-05-26,Morocco,Burundi,International Friendly
2026-05-26,Nigeria,Zimbabwe,International Friendly
2026-05-27,Cyprus,Greece,International Friendly
2026-05-27,Greece,Qatar,International Friendly
2026-05-27,Jamaica,India,International Friendly
2026-05-28,Egypt,Russia,International Friendly
2026-05-28,Republic of Ireland,Qatar,International Friendly
2026-05-28,Greece,England,International Friendly
2026-05-29,Bosnia and Herzegovina,North Macedonia,International Friendly
2026-05-29,South Africa,Nicaragua,International Friendly
2026-05-29,Andorra,Iraq,International Friendly
2026-05-29,Iran,Gambia,International Friendly
2026-05-30,Scotland,Curacao,International Friendly
2026-05-30,Croatia,Greece,International Friendly
2026-05-30,Ecuador,Saudi Arabia,International Friendly
2026-05-30,South Korea,Trinidad and Tobago,International Friendly
2026-05-30,Mexico,Australia,International Friendly
2026-05-31,Czech Republic,Kosovo,International Friendly
2026-05-31,United States,Senegal,International Friendly
2026-05-31,Mexico,England,International Friendly
2026-05-31,Cyprus,England,International Friendly
2026-05-31,Cape Verde,Serbia,International Friendly
2026-05-31,Poland,Ukraine,International Friendly
2026-05-31,Singapore,Mongolia,International Friendly
2026-05-31,Japan,Iceland,International Friendly
2026-05-31,Brazil,Panama,International Friendly
2026-05-31,Germany,Finland,International Friendly
2026-05-31,Switzerland,Jordan,International Friendly
2026-06-01,Turkey,North Macedonia,International Friendly
2026-06-01,Norway,Sweden,International Friendly
2026-06-01,Tajikistan,Palestine,International Friendly
2026-06-01,Slovakia,Malta,International Friendly
2026-06-01,Bulgaria,Montenegro,International Friendly
2026-06-01,Austria,Tunisia,International Friendly
2026-06-01,Colombia,Costa Rica,International Friendly
2026-06-01,Canada,Uzbekistan,International Friendly
2026-06-02,Haiti,New Zealand,International Friendly
2026-06-02,Morocco,Madagascar,International Friendly
2026-06-02,Croatia,Belgium,International Friendly
2026-06-02,Wales,Ghana,International Friendly
2026-06-02,Georgia,Romania,International Friendly
2026-06-03,South Korea,El Salvador,International Friendly
2026-06-03,Panama,Dominican Republic,International Friendly
2026-06-03,Portugal,Northern Ireland,International Friendly
2026-06-03,Albania,Israel,International Friendly
2026-06-03,Croatia,Qatar,International Friendly
2026-06-03,Gibraltar,British Virgin Islands,International Friendly
2026-06-03,Philippines,Guam,International Friendly
2026-06-03,Poland,Nigeria,International Friendly
2026-06-03,Netherlands,Algeria,International Friendly
2026-06-03,Luxembourg,Italy,International Friendly
2026-06-03,Denmark,DR Congo,International Friendly
2026-06-03,Kyrgyzstan,Kenya,International Friendly
2026-06-04,Mexico,Serbia,International Friendly
2026-06-04,Guatemala,Czech Republic,International Friendly
2026-06-04,Andorra,Liechtenstein,International Friendly
2026-06-04,Burundi,Equatorial Guinea,International Friendly
2026-06-04,Moldova,Malta,International Friendly
2026-06-04,France,Ivory Coast,International Friendly
2026-06-04,Cambodia,Bhutan,International Friendly
2026-06-04,Spain,Iraq,International Friendly
2026-06-04,Sweden,Greece,International Friendly
2026-06-04,Northern Ireland,Guinea,International Friendly
2026-06-04,Slovenia,Cyprus,International Friendly
2026-06-05,Slovakia,Montenegro,International Friendly
2026-06-05,Haiti,Peru,International Friendly
2026-06-05,Puerto Rico,Saudi Arabia,International Friendly
2026-06-05,Paraguay,Nicaragua,International Friendly
2026-06-05,Azerbaijan,Malta,International Friendly
2026-06-05,Hungary,Finland,International Friendly
2026-06-05,San Marino,Bangladesh,International Friendly
2026-06-05,Russia,Burkina Faso,International Friendly
2026-06-05,Moldova,Bulgaria,International Friendly
2026-06-05,Belarus,Syria,International Friendly
2026-06-05,Thailand,Kuwait,International Friendly
2026-06-05,Indonesia,Oman,International Friendly
2026-06-05,Canada,Republic of Ireland,International Friendly
2026-06-05,Singapore,China,International Friendly
2026-06-05,Angola,Botswana,International Friendly
2026-06-05,Tanzania,Uganda,International Friendly
2026-06-05,Georgia,Bahrain,International Friendly
2026-06-05,Hong Kong,Mongolia,International Friendly
2026-06-05,Central African Republic,Togo,International Friendly
2026-06-05,Niger,Mauritania,International Friendly
2026-06-06,Curacao,Aruba,International Friendly
2026-06-06,Qatar,El Salvador,International Friendly
2026-06-06,Cape Verde,Bermuda,International Friendly
2026-06-06,Panama,Bosnia and Herzegovina,International Friendly
2026-06-06,Australia,Switzerland,International Friendly
2026-06-06,Albania,Luxembourg,International Friendly
2026-06-06,Gibraltar,Cayman Islands,International Friendly
