team_name,iso_code,elo_rating,confederation,wc_qualified,last_updated
Argentina,ARG,1855.2,CONMEBOL,True,2026-05-21
Brasil,BRA,1842.8,CONMEBOL,True,2026-05-21
Uruguay,URU,1798.5,CONMEBOL,True,2026-05-21
Colombia,COL,1785.1,CONMEBOL,True,2026-05-21
Ecuador,ECU,1742.3,CONMEBOL,True,2026-05-21
Paraguay,PAR,1698.7,CONMEBOL,False,2026-05-21
Chile,CHI,1685.4,CONMEBOL,False,2026-05-21
Perú,PER,1672.9,CONMEBOL,False,2026-05-21
Venezuela,VEN,1645.2,CONMEBOL,False,2026-05-21
Bolivia,BOL,1512.8,CONMEBOL,False,2026-05-21
Francia,FRA,1848.6,UEFA,True,2026-05-21
España,ESP,1835.4,UEFA,True,2026-05-21
Inglaterra,ENG,1828.9,UEFA,True,2026-05-21
Portugal,POR,1815.7,UEFA,True,2026-05-21
Alemania,GER,1808.3,UEFA,True,2026-05-21
Países Bajos,NED,1795.1,UEFA,True,2026-05-21
Bélgica,BEL,1782.6,UEFA,True,2026-05-21
Italia,ITA,1775.8,UEFA,True,2026-05-21
Croacia,CRO,1758.4,UEFA,True,2026-05-21
Dinamarca,DEN,1745.2,UEFA,True,2026-05-21
Suiza,SUI,1738.9,UEFA,True,2026-05-21
Serbia,SRB,1725.3,UEFA,True,2026-05-21
Polonia,POL,1712.7,UEFA,True,2026-05-21
Ucrania,UKR,1698.5,UEFA,False,2026-05-21
Austria,AUT,1692.1,UEFA,True,2026-05-21
Hungría,HUN,1685.8,UEFA,True,2026-05-21
República Checa,CZE,1678.4,UEFA,False,2026-05-21
Escocia,SCO,1672.9,UEFA,False,2026-05-21
Turquía,TUR,1665.3,UEFA,False,2026-05-21
Suecia,SWE,1658.7,UEFA,False,2026-05-21
Gales,WAL,1645.2,UEFA,False,2026-05-21
Noruega,NOR,1638.6,UEFA,False,2026-05-21
Rumania,ROU,1625.4,UEFA,False,2026-05-21
Grecia,GRE,1618.9,UEFA,False,2026-05-21
Eslovaquia,SVK,1612.3,UEFA,True,2026-05-21
Irlanda,IRL,1598.7,UEFA,False,2026-05-21
Finlandia,FIN,1585.2,UEFA,False,2026-05-21
Bulgaria,BUL,1572.8,UEFA,False,2026-05-21
Irlanda del Norte,NIR,1565.4,UEFA,False,2026-05-21
Islandia,ISL,1558.9,UEFA,False,2026-05-21
Bosnia y Herzegovina,BIH,1545.3,UEFA,False,2026-05-21
Albania,ALB,1538.7,UEFA,True,2026-05-21
Montenegro,MNE,1525.2,UEFA,False,2026-05-21
Eslovenia,SVN,1518.6,UEFA,False,2026-05-21
Macedonia del Norte,MKD,1505.4,UEFA,False,2026-05-21
Georgia,GEO,1498.9,UEFA,False,2026-05-21
Luxemburgo,LUX,1485.3,UEFA,False,2026-05-21
Armenia,ARM,1472.7,UEFA,False,2026-05-21
Kosovo,KOS,1465.2,UEFA,False,2026-05-21
Chipre,CYP,1452.8,UEFA,False,2026-05-21
Azerbaiyán,AZE,1445.4,UEFA,False,2026-05-21
Bielorrusia,BLR,1432.9,UEFA,False,2026-05-21
Kazajistán,KAZ,1425.3,UEFA,False,2026-05-21
Islas Feroe,FRO,1412.7,UEFA,False,2026-05-21
Moldavia,MDA,1405.2,UEFA,False,2026-05-21
Estonia,EST,1392.8,UEFA,False,2026-05-21
Letonia,LVA,1385.4,UEFA,False,2026-05-21
Lituania,LTU,1372.9,UEFA,False,2026-05-21
