date,home_team,away_team,elo_diff,form_home,form_away,h2h,neutral,outcome
1872-11-30,Scotland,England,100.0,0.0,0.0,0.5,0,0
1873-03-08,England,Scotland,108.40389998817318,0.5,0.5,0.0,0,1
1874-03-07,Scotland,England,70.66407794920406,0.25,0.25,0.0,0,1
1875-03-06,England,Scotland,105.35478391024981,0.5,0.5,0.3333333333333333,0,0
1876-03-04,Scotland,England,103.47333673351477,0.5,0.5,0.25,0,1
1876-03-25,Scotland,Wales,112.39692033243136,0.6,0.0,0.5,0,1
1877-03-03,England,Scotland,64.89624113552304,0.4,0.3,0.2,0,-1
1877-03-05,Wales,Scotland,49.213583016487746,0.0,0.1,0.0,0,-1
1878-03-02,Scotland,England,187.75370340924883,0.9,0.7,0.6,0,1
1878-03-23,Scotland,Wales,192.60832059348536,1.0,1.0,1.0,0,1
1879-01-18,England,Wales,97.09646745256646,0.1,1.0,0.5,0,1
1879-04-05,England,Scotland,0.5156611568829703,0.3,0.0,0.0,0,1
1879-04-07,Wales,Scotland,-3.4307430527139786,0.0,0.2,0.0,0,-1
1880-03-13,Scotland,England,184.38075230382265,0.8,0.6,0.4,0,1
1880-03-15,Wales,England,58.95760316475935,0.0,0.6,0.0,0,-1
1880-03-27,Scotland,Wales,258.3671379814184,0.8,1.0,1.0,0,1
1881-02-26,England,Wales,181.61480347977204,0.6,1.0,1.0,0,-1
1881-03-12,England,Scotland,-10.009205018843204,0.6,0.2,0.0,0,-1
1881-03-14,Wales,Scotland,-61.79788067101231,0.2,0.2,0.0,0,-1
1882-02-18,Northern Ireland,England,138.83082631123375,0.0,0.6,0.5,0,-1
1882-02-25,Wales,Northern Ireland,46.85065298935274,0.2,1.0,0.5,0,1
1882-03-11,Scotland,England,230.81099963311476,1.0,0.6,0.4,0,1
1882-03-13,Wales,England,63.564531960673776,0.4,0.6,0.3333333333333333,0,1
1882-03-25,Scotland,Wales,267.52347122132346,1.0,0.4,1.0,0,1
1883-02-03,England,Wales,117.15974846551512,0.2,0.4,0.5,0,1
1883-02-24,England,Northern Ireland,107.10433717362412,0.4,1.0,1.0,0,1
1883-03-10,England,Scotland,-40.31369047399744,0.6,0.0,0.0,0,-1
1883-03-12,Wales,Scotland,-101.50816848285763,0.4,0.0,0.0,0,-1
1883-03-17,Northern Ireland,Wales,130.52687567524663,0.0,0.6,0.0,0,0
1884-01-26,Northern Ireland,Scotland,-97.84186725247605,0.125,0.0,0.5,0,-1
1884-02-09,Wales,Northern Ireland,91.12585430565059,0.3,0.9,0.5,0,1
1884-02-23,Northern Ireland,England,57.706877517743806,0.1,0.6,0.0,0,-1
1884-03-15,Scotland,England,271.00169992971246,1.0,0.4,0.6,0,1
1884-03-17,Wales,England,58.88049529525483,0.3,0.4,0.4,0,-1
1884-03-29,Scotland,Wales,340.0579221598973,1.0,0.7,1.0,0,1
1885-02-28,England,Northern Ireland,189.53927812296888,0.6,0.9,1.0,0,1
1885-03-14,England,Wales,187.41004310035441,0.6,0.7,0.6,0,0
1885-03-14,Scotland,Northern Ireland,364.6961739266344,1.0,0.9,1.0,0,1
1885-03-21,England,Scotland,-70.73483433741603,0.7,0.0,0.0,0,0
1885-03-23,Wales,Scotland,-140.35629009947365,0.4,0.1,0.0,0,-1
1885-04-11,Northern Ireland,Wales,81.37272445071699,0.0,0.7,0.0,0,-1
1885-11-28,United States,Canada,100.0,0.0,0.0,0.5,0,-1
1886-02-27,Wales,Northern Ireland,155.5278455430082,0.3,1.0,0.75,0,1
1886-03-13,Northern Ireland,England,-30.67410951738475,0.0,0.4,0.0,0,-1
1886-03-20,Northern Ireland,Scotland,-218.3131294305656,0.0,0.1,0.0,0,-1
1886-03-27,Scotland,England,266.92699097759896,0.9,0.2,0.6,0,0
1886-03-29,Wales,England,18.88687031759696,0.5,0.3,0.2,0,-1
1886-04-10,Scotland,Wales,344.47692580404146,0.8,0.5,1.0,0,1
1886-11-25,United States,Canada,61.59610001182682,0.0,0.0,0.0,0,1
1887-02-05,England,Northern Ireland,290.1820817178427,0.7,1.0,1.0,0,1
1887-02-19,Scotland,Northern Ireland,430.2977774408214,0.8,1.0,1.0,0,1
1887-02-26,England,Wales,221.12346720519554,0.8,0.6,0.6,0,1
1887-03-12,Northern Ireland,Wales,25.677599854447635,0.0,0.6,0.0,0,1
1887-03-19,England,Scotland,-26.375335970684773,0.9,0.1,0.0,0,-1
1887-03-21,Wales,Scotland,-188.38147999713215,0.2,0.1,0.0,0,-1
1888-02-04,England,Wales,241.8593744265943,0.7,1.0,0.8,0,1
1888-03-03,Wales,Northern Ireland,132.98394602834674,0.0,0.8,0.6,0,1
1888-03-10,Scotland,Wales,399.98976483337924,0.9,0.8,1.0,0,1
1888-03-17,Scotland,England,258.43841316214593,1.0,0.2,0.6,0,-1
1888-03-24,Northern Ireland,Scotland,-230.27616398910845,0.2,0.2,0.0,0,-1
1888-04-07,Northern Ireland,England,-127.07840062725609,0.2,0.2,0.0,0,-1
1888-09-19,Scotland,Canada,279.648847155933,0.8,0.5,0.5,0,1
1889-02-23,England,Wales,281.223957462704,0.8,0.8,0.8,0,1
1889-03-02,England,Northern Ireland,351.53093329532476,0.8,0.8,1.0,0,1
1889-03-09,Scotland,Northern Ireland,461.1165486107732,0.8,0.8,1.0,0,1
1889-04-13,England,Scotland,-4.552173163678162,1.0,0.2,0.2,0,-1
1889-04-15,Wales,Scotland,-214.00387315598505,0.2,0.2,0.0,0,0
1889-04-27,Northern Ireland,Wales,25.916190862052417,0.0,0.7,0.2,0,-1
1890-02-08,Wales,Northern Ireland,106.31745175115134,0.5,1.0,0.6,1,1
1890-03-15,Northern Ireland,England,-172.36882593388464,0.0,0.2,0.0,0,-1
1890-03-15,Wales,England,-53.069485230454575,0.5,0.2,0.0,0,-1
1890-03-22,Scotland,Wales,383.616391595712,0.9,0.5,0.8,0,1
1890-03-29,Northern Ireland,Scotland,-309.3878257832521,0.0,0.1,0.0,0,-1
1890-04-05,Scotland,England,212.38975213878894,0.9,0.2,0.8,0,0
1891-02-07,Northern Ireland,Wales,-24.156301909354625,0.0,0.5,0.0,0,1
1891-03-07,England,Wales,305.70963512874664,0.7,0.6,0.8,0,1
1891-03-07,England,Northern Ireland,402.1879074769731,0.7,0.8,1.0,0,1
1891-03-21,Wales,Scotland,-206.15243494453944,0.2,0.2,0.0,0,-1
1891-03-28,Scotland,Northern Ireland,503.533479170251,0.8,0.8,1.0,0,1
1891-04-04,England,Scotland,2.480115689254262,0.9,0.1,0.2,0,1
1892-02-27,Wales,Northern Ireland,184.91688588081502,0.0,0.8,0.4,0,0
1892-03-05,Northern Ireland,England,-216.73367531187478,0.3,0.1,0.0,0,-1
1892-03-05,Wales,England,-153.12276293786363,0.1,0.1,0.0,0,-1
1892-03-19,Northern Ireland,Scotland,-291.1610819025018,0.3,0.3,0.0,0,-1
1892-03-26,Scotland,Wales,427.67831354152077,0.7,0.9,0.8,0,1
1892-04-02,Scotland,England,159.3399998773532,0.8,0.0,0.6,0,-1
1893-02-25,England,Northern Ireland,465.0696714726246,1.0,0.9,1.0,0,1
1893-03-13,England,Wales,396.4170073125131,1.0,0.9,0.8,0,1
1893-03-18,Wales,Scotland,-213.73710487955577,0.1,0.4,0.0,0,-1
1893-03-25,Scotland,Northern Ireland,490.25451849063666,0.6,0.9,1.0,0,1
1893-04-01,England,Scotland,79.7698912469416,1.0,0.2,0.4,0,1
1894-02-24,Wales,Northern Ireland,164.63460570950406,0.1,0.9,0.4,0,1
1894-03-03,Northern Ireland,England,-293.3884740946446,0.0,0.0,0.0,0,0
1894-03-12,Wales,England,-201.67086508651937,0.2,0.1,0.0,0,-1
1894-03-24,Scotland,Wales,416.14768670004287,0.6,0.8,0.8,0,1
1894-03-31,Northern Ireland,Scotland,-282.57103960082827,0.1,0.4,0.0,0,-1
1894-04-07,Scotland,England,107.60097807975194,0.8,0.1,0.4,0,0
1895-03-09,England,Northern Ireland,489.3302507620658,0.8,0.9,0.8,0,1
1895-03-16,Northern Ireland,Wales,31.965925277093675,0.1,0.8,0.0,0,0
1895-03-18,England,Wales,423.3053243201084,0.8,0.7,1.0,0,0
1895-03-23,Wales,Scotland,-207.6210969058459,0.4,0.3,0.0,0,0
1895-03-30,Scotland,Northern Ireland,482.96526665936085,0.6,0.8,1.0,0,1
1895-04-06,England,Scotland,96.78678327911621,0.7,0.2,0.4,0,1
1896-02-29,Wales,Northern Ireland,193.1561159419466,0.3,0.8,0.4,0,1
1896-03-07,Northern Ireland,England,-301.60810270071966,0.1,0.2,0.0,0,-1
1896-03-16,Wales,England,-198.09483498988016,0.5,0.2,0.0,0,-1
1896-03-21,Scotland,Wales,382.2295302930854,0.6,0.5,0.6,0,1
1896-03-28,Northern Ireland,Scotland,-290.4545204482015,0.1,0.4,0.0,0,0
1896-04-04,Scotland,England,62.33556156616237,0.6,0.1,0.4,0,1
1897-02-20,England,Northern Ireland,495.2712287324048,0.7,0.8,0.8,0,1
1897-03-06,Northern Ireland,Wales,6.374834468136669,0.1,0.6,0.0,0,1
1897-03-20,Wales,Scotland,-205.01984053532442,0.3,0.3,0.0,0,0
1897-03-27,Scotland,Northern Ireland,461.245937831859,0.6,0.7,0.8,0,1
1897-03-29,England,Wales,411.6991632275285,0.8,0.7,1.0,0,1
1897-04-03,England,Scotland,123.17288870118296,0.8,0.2,0.4,0,-1
1898-02-19,Wales,Northern Ireland,171.53034700108515,0.1,0.7,0.2,0,-1
1898-03-05,Northern Ireland,England,-246.39624203587232,0.5,0.4,0.0,0,-1
1898-03-19,Scotland,Wales,435.6188878373298,0.8,0.9,0.4,0,1
1898-03-26,Northern Ireland,Scotland,-271.5419721166579,0.4,0.1,0.0,0,-1
1898-03-28,Wales,England,-226.68771148983637,0.1,0.4,0.0,0,-1
1898-04-02,Scotland,England,112.2465318097345,0.9,0.2,0.4,0,-1
1899-02-18,England,Northern Ireland,489.3716167881048,0.8,0.6,0.8,0,1
1899-03-04,Northern Ireland,Wales,68.10831996191905,0.2,0.9,0.2,0,1
1899-03-18,Wales,Scotland,-244.14693913618476,0.0,0.2,0.0,0,-1
1899-03-20,England,Wales,478.86985696540205,0.8,1.0,1.0,0,1
1899-03-25,Scotland,Northern Ireland,457.7540831539295,0.8,0.6,0.8,0,1
1899-04-08,England,Scotland,122.68944867475693,1.0,0.2,0.4,0,1
1900-02-03,Scotland,Wales,449.85052796435616,0.6,1.0,0.6,0,1
1900-02-24,Wales,Northern Ireland,99.9113474640692,0.0,0.8,0.2,0,1
1900-03-03,Northern Ireland,Scotland,-264.75230136194546,0.2,0.4,0.0,0,-1
1900-03-17,Northern Ireland,England,-310.53894423105726,0.2,0.0,0.0,0,-1
1900-03-26,Wales,England,-287.9594014999468,0.2,0.0,0.0,0,0
1900-04-07,Scotland,England,70.84201160750217,0.8,0.1,0.2,0,1
1901-02-23,Scotland,Northern Ireland,491.7685648136462,0.8,0.8,0.8,0,1
1901-03-02,Wales,Scotland,-252.0598483971944,0.3,0.2,0.0,0,0
1901-03-09,England,Northern Ireland,498.6305538759116,0.7,1.0,0.8,0,1
1901-03-18,England,Wales,447.8857726125848,0.7,0.6,0.8,0,1
1901-03-23,Northern Ireland,Wales,48.15344635155634,0.0,0.6,0.2,0,-1
1901-03-30,England,Scotland,116.55137947655112,0.7,0.1,0.4,0,0
1902-02-22,Wales,Northern Ireland,185.97803628567272,0.6,1.0,0.2,0,-1
1902-03-01,Northern Ireland,Scotland,-286.98992772074826,0.2,0.2,0.0,0,-1
1902-03-03,Wales,England,-252.54305588510897,0.4,0.4,0.0,0,0
1902-03-15,Scotland,Wales,441.20198051619286,0.8,0.6,0.4,0,1
1902-03-22,Northern Ireland,England,-289.3464168204757,0.2,0.4,0.0,0,-1
1902-05-03,England,Scotland,95.28332441159046,0.8,0.2,0.4,0,0
1902-07-20,Uruguay,Argentina,100.0,0.0,0.0,0.5,0,-1
1902-10-12,Austria,Hungary,100.0,0.0,0.0,0.5,0,1
1903-02-14,England,Northern Ireland,494.8734335080853,0.7,0.8,0.8,0,1
1903-03-02,England,Wales,438.5011749578582,0.7,0.7,0.6,0,1
