date,home_team,away_team,home_score,away_score,tournament,country,city,neutral,confederation,world_cup_cycle
2023-01-02,Thailand,Cambodia,3.0,1.0,AFF Championship,Thailand,Pathum Thani,False,Unknown,2026
2023-01-02,Philippines,Indonesia,1.0,2.0,AFF Championship,Philippines,Manila,False,Unknown,2026
2023-01-03,Vietnam,Myanmar,3.0,0.0,AFF Championship,Vietnam,Hanoi,False,Unknown,2026
2023-01-03,Malaysia,Singapore,4.0,1.0,AFF Championship,Malaysia,Kuala Lumpur,False,Unknown,2026
2023-01-06,Iraq,Oman,0.0,0.0,Gulf Cup,Iraq,Basra,False,AFC,2026
2023-01-06,Yemen,Saudi Arabia,0.0,2.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-06,Indonesia,Vietnam,0.0,0.0,AFF Championship,Indonesia,Jakarta,False,Unknown,2026
2023-01-07,Bahrain,United Arab Emirates,2.0,1.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-07,Kuwait,Qatar,0.0,2.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-07,Malaysia,Thailand,1.0,0.0,AFF Championship,Malaysia,Kuala Lumpur,False,Unknown,2026
2023-01-08,Iceland,Estonia,1.0,1.0,Friendly,Portugal,Albufeira,True,UEFA,2026
2023-01-09,Vietnam,Indonesia,2.0,0.0,AFF Championship,Vietnam,Hanoi,False,Unknown,2026
2023-01-09,Iraq,Saudi Arabia,2.0,0.0,Gulf Cup,Iraq,Basra,False,AFC,2026
2023-01-09,Sweden,Finland,2.0,0.0,Friendly,Portugal,Faro-Loulé,True,UEFA,2026
2023-01-09,Oman,Yemen,3.0,2.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-10,United Arab Emirates,Kuwait,0.0,1.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-10,Qatar,Bahrain,1.0,2.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-10,Thailand,Malaysia,3.0,0.0,AFF Championship,Thailand,Pathum Thani,False,Unknown,2026
2023-01-12,Saudi Arabia,Oman,1.0,2.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-12,Finland,Estonia,0.0,1.0,Friendly,Portugal,Albufeira,True,UEFA,2026
2023-01-12,Sweden,Iceland,2.0,1.0,Friendly,Portugal,Faro-Loulé,True,UEFA,2026
2023-01-12,Iraq,Yemen,5.0,0.0,Gulf Cup,Iraq,Basra,False,AFC,2026
2023-01-13,Vietnam,Thailand,2.0,2.0,AFF Championship,Vietnam,Hanoi,False,Unknown,2026
2023-01-13,Qatar,United Arab Emirates,1.0,1.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-13,Bahrain,Kuwait,1.0,1.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-16,Iraq,Qatar,2.0,1.0,Gulf Cup,Iraq,Basra,False,AFC,2026
2023-01-16,Bahrain,Oman,0.0,1.0,Gulf Cup,Iraq,Basra,True,AFC,2026
2023-01-16,Thailand,Vietnam,1.0,0.0,AFF Championship,Thailand,Pathum Thani,False,Unknown,2026
2023-01-19,Iraq,Oman,3.0,2.0,Gulf Cup,Iraq,Basra,False,AFC,2026
2023-01-25,United States,Serbia,1.0,2.0,Friendly,United States,Los Angeles,False,CONCACAF,2026
2023-01-28,United States,Colombia,0.0,0.0,Friendly,United States,Carson,False,CONCACAF,2026
2023-02-22,Grenada,Barbados,1.0,1.0,Friendly,Grenada,Sauteurs,False,Unknown,2026
2023-02-26,Grenada,Barbados,2.0,2.0,Friendly,Grenada,St. George's,False,Unknown,2026
2023-03-03,Grenada,Saint Lucia,1.0,2.0,Friendly,Grenada,St. George's,False,Unknown,2026
2023-03-04,Saint Barthélemy,Sint Maarten,5.0,1.0,Friendly,Saint Barthélemy,Saint-Jean,False,Unknown,2026
2023-03-05,Grenada,Saint Lucia,2.0,0.0,Friendly,Grenada,Gouyave,False,Unknown,2026
2023-03-10,Saint Martin,Saint Barthélemy,3.0,2.0,Friendly,Saint Martin,Quartier-d'Orleans,False,Unknown,2026
2023-03-11,Jamaica,Trinidad and Tobago,0.0,1.0,Friendly,Jamaica,Montego Bay,False,CONCACAF,2026
2023-03-12,Guatemala,Panama,1.0,1.0,Friendly,United States,San Jose,True,CONCACAF,2026
2023-03-14,Jamaica,Trinidad and Tobago,0.0,0.0,Friendly,Jamaica,Kingston,False,CONCACAF,2026
2023-03-15,Bangladesh,Malawi,1.0,1.0,Friendly,Saudi Arabia,Medina,True,AFC,2026
2023-03-19,Ethiopia,Rwanda,1.0,0.0,Friendly,Ethiopia,Adama,False,Unknown,2026
2023-03-20,Fiji,Vanuatu,1.0,2.0,Friendly,Fiji,Lautoka,False,OFC,2026
2023-03-21,Maldives,Pakistan,1.0,0.0,Friendly,Maldives,Laamu,False,Unknown,2026
2023-03-21,Tahiti,New Caledonia,0.0,2.0,Friendly,Tahiti,Pirae,False,Unknown,2026
2023-03-22,Benin,Rwanda,1.0,1.0,African Cup of Nations qualification,Benin,Cotonou,False,Unknown,2026
2023-03-22,Sierra Leone,São Tomé and Príncipe,2.0,2.0,African Cup of Nations qualification,Morocco,Agadir,True,CAF,2026
2023-03-22,Republic of Ireland,Latvia,3.0,2.0,Friendly,Republic of Ireland,Dublin,False,Unknown,2026
2023-03-22,India,Myanmar,1.0,0.0,Tri Nation Tournament,India,Imphal,False,Unknown,2026
2023-03-22,Honduras,El Salvador,1.0,0.0,Friendly,United States,Los Angeles,True,CONCACAF,2026
2023-03-22,Nepal,Laos,2.0,0.0,Tri Nation Tournament,Nepal,Kathmandu,False,Unknown,2026
2023-03-23,Slovakia,Luxembourg,0.0,0.0,UEFA Euro qualification,Slovakia,Trnava,False,UEFA,2026
2023-03-23,British Virgin Islands,Puerto Rico,1.0,3.0,CONCACAF Nations League,British Virgin Islands,Road Town,False,CONCACAF,2026
2023-03-23,Saint Martin,Saint Kitts and Nevis,1.0,3.0,CONCACAF Nations League,Anguilla,The Valley,True,CONCACAF,2026
2023-03-23,French Guiana,Dominican Republic,1.0,1.0,CONCACAF Nations League,French Guiana,Cayenne,False,CONCACAF,2026
2023-03-23,Guadeloupe,Antigua and Barbuda,0.0,1.0,CONCACAF Nations League,Guadeloupe,Les Abymes,False,CONCACAF,2026
2023-03-23,Barbados,Cuba,0.0,1.0,CONCACAF Nations League,Barbados,Bridgetown,False,CONCACAF,2026
2023-03-23,Suriname,Mexico,0.0,2.0,CONCACAF Nations League,Suriname,Paramaribo,False,CONCACAF,2026
2023-03-23,Bosnia and Herzegovina,Iceland,3.0,0.0,UEFA Euro qualification,Bosnia and Herzegovina,Zenica,False,UEFA,2026
2023-03-23,Portugal,Liechtenstein,4.0,0.0,UEFA Euro qualification,Portugal,Lisbon,False,UEFA,2026
2023-03-23,Kazakhstan,Slovenia,1.0,2.0,UEFA Euro qualification,Kazakhstan,Astana,False,UEFA,2026
2023-03-23,San Marino,Northern Ireland,0.0,2.0,UEFA Euro qualification,San Marino,Serravalle,False,UEFA,2026
2023-03-23,North Macedonia,Malta,2.0,1.0,UEFA Euro qualification,North Macedonia,Skopje,False,UEFA,2026
2023-03-23,Italy,England,1.0,2.0,UEFA Euro qualification,Italy,Napoli,False,UEFA,2026
2023-03-23,Denmark,Finland,3.0,1.0,UEFA Euro qualification,Denmark,Copenhagen,False,UEFA,2026
2023-03-23,Zambia,Lesotho,3.0,1.0,African Cup of Nations qualification,Zambia,Ndola,False,Unknown,2026
2023-03-23,Argentina,Panama,2.0,0.0,Friendly,Argentina,Buenos Aires,False,CONMEBOL,2026
2023-03-23,Hong Kong,Singapore,1.0,1.0,Friendly,Hong Kong,Hong Kong,False,Unknown,2026
2023-03-23,Hungary,Estonia,1.0,0.0,Friendly,Hungary,Budapest,False,Unknown,2026
2023-03-23,Gabon,Sudan,1.0,0.0,African Cup of Nations qualification,Gabon,Franceville,False,Unknown,2026
