country,player,position,club,age,jersey_number,squad_status,announcement_date,group,confederation,is_final_squad
México,"( 1986-09-12 ) September 12, 1986 (Aged 39)",Defensa,Fc Tokyo,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1987-10-05 ) October 5, 1987 (Aged 38)",Defensa,Charlotte Fc,26,13,Final,2026-05-26,A,CONCACAF,1
México,"( 1988-02-12 ) February 12, 1988 (Aged 38)",Defensa,Unknown,26,8,Final,2026-05-26,A,CONCACAF,1
México,"( 1988-05-20 ) May 20, 1988 (Aged 38)",Defensa,Unknown,26,60,Final,2026-05-26,A,CONCACAF,1
México,"( 1988-08-18 ) August 18, 1988 (Aged 37)",Defensa,Minnesota United Fc,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1989-05-14 ) May 14, 1989 (Aged 37)",Defensa,Unknown,26,56,Final,2026-05-26,A,CONCACAF,1
México,"( 1990-02-25 ) February 25, 1990 (Aged 36)",Defensa,Unknown,26,7,Final,2026-05-26,A,CONCACAF,1
México,"( 1990-03-21 ) March 21, 1990 (Aged 36)",Defensa,Unknown,26,72,Final,2026-05-26,A,CONCACAF,1
México,"( 1990-03-31 ) March 31, 1990 (Aged 36)",Defensa,Unknown,26,26,Final,2026-05-26,A,CONCACAF,1
México,"( 1990-05-21 ) May 21, 1990 (Aged 36)",Defensa,Unknown,26,57,Final,2026-05-26,A,CONCACAF,1
México,"( 1990-07-03 ) July 3, 1990 (Aged 35)",Defensa,Unknown,26,24,Final,2026-05-26,A,CONCACAF,1
México,"( 1990-07-09 ) July 9, 1990 (Aged 35)",Defensa,Unknown,26,20,Final,2026-05-26,A,CONCACAF,1
México,"( 1990-08-06 ) August 6, 1990 (Aged 35)",Defensa,Unknown,26,97,Final,2026-05-26,A,CONCACAF,1
México,"( 1991-01-17 ) January 17, 1991 (Aged 35)",Defensa,Unknown,26,44,Final,2026-05-26,A,CONCACAF,1
México,"( 1991-01-26 ) January 26, 1991 (Aged 35)",Defensa,Unknown,26,43,Final,2026-05-26,A,CONCACAF,1
